"model","term","estimate","std.error","OR","OR_lower","OR_upper","statistic","p.value","sig"
"Model 3","DBAS_Medications",-0.184035269092896,0.0737277245838731,0.831906462722943,0.719972970047606,0.961242145902282,-2.4961474144443,0.0132800215854893,"*"
"Model 3","CISS_Emotion",-0.440001628887243,0.261998829678789,0.644035372021286,0.385382344438117,1.07628584028504,-1.67940303178715,0.0946833372498953,"."
"Model 3","BFI_Extraversion",0.314432142806016,0.143678853598298,1.36948142023597,1.03336615968277,1.81492237073767,2.18843716337768,0.0300664276260272,"*"
"Model 3","SURPS_Anxiety_Sensitivity",0.214326105288047,0.346044986434922,1.23902664205869,0.628812557099615,2.44140642930581,0.619359082459511,0.53623078912881,""
"Model 3","SURPS_Hopelessness",-0.168772203865568,0.34168789925862,0.844701301162622,0.43236701208071,1.65026532609901,-0.493936730659069,0.621972678257559,""
"Model 3","BFI_Openness",0.151203662724938,0.169687891271957,1.16323354127162,0.834114493085908,1.62221407583185,0.891069254214524,0.37472805244697,""
"Model 3","BFI_Neuroticism",0.156248601577337,0.144522618852494,1.16911681124892,0.880719817555734,1.55195113258405,1.08113596901265,0.280657090066562,""
"Model 3","BFI_Conscientiousness",-0.0208339707945305,0.167827861640157,0.979381557013301,0.704845548996236,1.36084882082858,-0.124138927773513,0.901360161950004,""
"Model 4","(Intercept)",-3.35752164522198,352.465588322861,0.034821452004082,3.28913076983568e-302,3.68648620113474e+298,-0.00952581402683335,0.99240474926092,""
"Model 4","DBAS_Medications",-0.203217564621329,0.0780720377568424,0.81610066747672,0.700305396319647,0.951042649330021,-2.60294941005967,0.00994465807922787,"**"
"Model 4","CISS_Emotion",-0.44459004636521,0.276369183582588,0.641087038129999,0.372963900252431,1.10196346128975,-1.60868169381972,0.109374439021815,""
"Model 4","BFI_Extraversion",0.322833769644298,0.156802154587525,1.3810357617579,1.01562231887215,1.87792227466235,2.05886054623118,0.0413402079923647,"*"
"Model 4","SURPS_Anxiety_Sensitivity",0.13160315104393,0.368184832341834,1.14065556146614,0.554305599683461,2.3472523291243,0.357437730953963,0.721093283852801,""
"Model 4","SURPS_Hopelessness",-0.245715809135242,0.374027783152908,0.782144471657502,0.375757885660213,1.62804294438036,-0.656945339899497,0.512239467370073,""
"Model 4","BFI_Openness",0.178747772911057,0.182086281621242,1.19571911337859,0.836824139187146,1.70853603660105,0.98166523759802,0.328602397311059,""
"Model 4","BFI_Neuroticism",0.14873959612227,0.152479547971222,1.16037078481123,0.860604424077407,1.56455198297042,0.97547243614824,0.330337497709417,""
"Model 4","BFI_Conscientiousness",-0.0210716163693008,0.178326334299748,0.979148838973567,0.690326067377045,1.38881101869161,-0.118163234006042,0.906107305178554,""
"Model 4","age",-0.0410532339248194,0.0232823828747033,0.959778035836038,0.916964331563734,1.00459074182566,-1.76327458171923,0.0787013195603592,"."
"Model 4","sex",-0.148457122051012,0.291549886780451,0.862036968755246,0.48680341624201,1.52650476703167,-0.509199724583692,0.610929821400511,""
"Model 4","education.L",4.52756937876175,264.443084641036,92.5333739367106,7.37565205826811e-224,1.16090417829743e+227,0.0171211487148837,0.986349196100805,""
"Model 4","education.Q",4.56647667137482,223.495250666472,96.2045516859212,5.49790956536242e-189,1.68342451891143e+192,0.0204320971374443,0.983709693739565,""
"Model 4","education.C",-9.99404872031129,528.883482733155,4.56709230208561e-05,0,Inf,-0.0188965037604582,0.984933854899284,""
"Model 4","education^4",7.01655117737651,399.798304124581,1114.93476714105,0,Inf,0.017550227464672,0.986007123593167,""
"Model 4","income.L",-1.35035265345562,1.1401264961941,0.259148854790381,0.0277366513766073,2.42127746523166,-1.18438844984595,0.237633728316854,""
"Model 4","income.Q",0.866768504067851,0.97075931325708,2.37921001013414,0.354899811694958,15.9499669647272,0.892876835927208,0.37294927621959,""
"Model 4","income.C",-0.826978766418616,0.63220756290979,0.437368685170958,0.126678159047665,1.51005799426084,-1.30808110332052,0.192144278537385,""
"Model 4","income^4",0.115985003123315,0.377383511444227,1.12297903082893,0.535964860243644,2.35291900127221,0.30733988000548,0.758809041647995,""
"Model 4","employment.L",-11.1285512425377,832.483689763058,1.46869495745459e-05,0,Inf,-0.0133678910222315,0.989341489195574,""
"Model 4","employment.Q",-8.62239142018334,620.496855008646,0.000180029214010792,0,Inf,-0.0138959470150146,0.988920485302153,""
"Model 4","employment.C",-2.61004495197276,277.495386986559,0.0735312383145424,4.54600437109083e-238,1.18936159464634e+235,-0.00940572375028053,0.992500498413386,""
"Model 4","driving_freq.L",-0.0278006114771179,0.486918222912611,0.972582269211686,0.374501178792671,2.52580318554518,-0.0570950319148507,0.954509278000683,""
"Model 4","driving_freq.Q",-0.00942666483320332,0.430009378358177,0.990617626888071,0.426456441917828,2.30111023364595,-0.0219219982345393,0.98252529243941,""
"Model 4","driving_freq.C",0.089391877266703,0.385639391574104,1.09350909372817,0.513522553104579,2.32854843635795,0.231801727779475,0.816861505656713,""
"Model 5","(Intercept)",-3.08080702649882,339.578307796574,0.04592218127348,4.04698335710973e-291,5.21091031721037e+287,-0.0090724494343861,0.992766385684159,""
"Model 5","BFI_Extraversion",0.357539730283459,0.176537246743085,1.42980737197179,1.01159341536867,2.02091975875487,2.0252934543824,0.0454809891183277,"*"
"Model 5","BFI_Agreeableness",0.178642284420825,0.196210192761288,1.19559298542722,0.813890296138006,1.75630867401372,0.910463834252299,0.364019254676838,""
"Model 5","BFI_Conscientiousness",-0.0801273994399951,0.207084439270507,0.922998749372112,0.615073872557096,1.38508027954545,-0.386931049586627,0.699591739445023,""
