"model","term","estimate","std.error","OR","OR_lower","OR_upper","statistic","p.value","sig"
"Model 2: Demo + Personality","driving_freq.L",-0.229654518674197,0.494271877890152,0.794808146447894,0.301668242761897,2.09408847241022,-0.464631974723102,0.642595291340289,""
"Model 2: Demo + Personality","driving_freq.Q",0.091934763043668,0.437862595639381,1.09629330090973,0.464740578670048,2.58608577942328,0.209962586343832,0.833846034565831,""
"Model 2: Demo + Personality","driving_freq.C",0.208014505178589,0.41512116122382,1.2312310286453,0.545734344148044,2.77777981568212,0.50109347489138,0.616688573162018,""
"Model 2: Demo + Personality","DBAS_Medications",-0.384809924139716,0.0842474350396525,0.680579985737367,0.576987372872028,0.802771670167914,-4.56761590377913,9.40876785498063e-06,"***"
"Model 2: Demo + Personality","CISS_Emotion",-0.123207183519493,0.218045120908429,0.884080476680255,0.576617801806791,1.35548761553685,-0.565053613702439,0.572677524639014,""
"Model 2: Demo + Personality","SURPS_Hopelessness",-0.107121431481044,0.351776476729927,0.898416570311462,0.450857783164905,1.79025928784951,-0.304515618772557,0.76101173453745,""
"Model 2: Demo + Personality","SURPS_Anxiety_Sensitivity",-0.24935515755263,0.323718317566363,0.779303148830349,0.413191935139439,1.46980941816289,-0.770284361500524,0.44206355333804,""
"Model 2: Demo + Personality","BFI_Openness",0.0933680739207635,0.164633881316337,1.09786575666218,0.795078574423221,1.51596239469261,0.567125510096921,0.571378382338765,""
"Model 2: Demo + Personality","BFI_Extraversion",0.323051095537408,0.1528020304125,1.38133592920414,1.02383882414081,1.86366145170507,2.11418064711123,0.0359083775799843,"*"
"Model 2: Demo + Personality","BFI_Neuroticism",0.103927907574902,0.166762528094055,1.1095204640113,0.80017354188008,1.53846084084138,0.623208995226351,0.533904785122328,""
"Model 2: Demo + Personality","DBAS_Consequences",0.0768515248465994,0.0761317265942292,1.07988172888373,0.930189770566897,1.25366305379409,1.00945464242794,0.31363760342597,""
"Model 3: Demo + Clinical","(Intercept)",2.55323178053107,1.78321732517155,12.848560484726,0.389896415349345,423.408628627032,1.43181189667134,0.153053816061572,""
"Model 3: Demo + Clinical","age",-0.038593244800672,0.0228819823138786,0.962141985819285,0.919944506172667,1.00627504666301,-1.68662156413188,0.0925271947941138,"."
"Model 3: Demo + Clinical","sex",-0.237068773816734,0.278674150221532,0.788937027941221,0.456909422362961,1.36224293830011,-0.850702419396546,0.395489904274201,""
"Model 3: Demo + Clinical","income.L",-0.698089188544839,0.856765264891495,0.497535091822295,0.0927962445952735,2.6675774291757,-0.814796324210516,0.415728913006527,""
