"","Overall","0","1","p","test","SMD"
"safety_2 (%)","  ","  ","   "," 0.264",""," 0.265"
"   1","   56 (14.1) ","   38 (12.5) ","   18 ( 19.4) ","","",""
"   2","   48 (12.1) ","   36 (11.8) ","   12 ( 12.9) ","","",""
"   3","  106 (26.7) ","   85 (28.0) ","   21 ( 22.6) ","","",""
"   4","  152 (38.3) ","  121 (39.8) ","   31 ( 33.3) ","","",""
"   5","   35 ( 8.8) ","   24 ( 7.9) ","   11 ( 11.8) ","","",""
"safety_3 (%)","  ","  ","   "," 0.801",""," 0.155"
"   1","  223 (56.2) ","  166 (54.6) ","   57 ( 61.3) ","","",""
"   2","   89 (22.4) ","   72 (23.7) ","   17 ( 18.3) ","","",""
"   3","   22 ( 5.5) ","   17 ( 5.6) ","    5 (  5.4) ","","",""
"   4","   47 (11.8) ","   37 (12.2) ","   10 ( 10.8) ","","",""
"   5","   16 ( 4.0) ","   12 ( 3.9) ","    4 (  4.3) ","","",""
"safety_4 (%)","  ","  ","   "," 0.017",""," 0.374"
"   1","   67 (16.9) ","   51 (16.8) ","   16 ( 17.2) ","","",""
"   2","  102 (25.7) ","   83 (27.3) ","   19 ( 20.4) ","","",""
"   3","   32 ( 8.1) ","   17 ( 5.6) ","   15 ( 16.1) ","","",""
"   4","  102 (25.7) ","   82 (27.0) ","   20 ( 21.5) ","","",""
"   5","   94 (23.7) ","   71 (23.4) ","   23 ( 24.7) ","","",""
"adls_1 (%)","  ","  ","   "," 0.007",""," 0.396"
"   1","  134 (33.8) ","  107 (35.2) ","   27 ( 29.0) ","","",""
"   2","  154 (38.8) ","  124 (40.8) ","   30 ( 32.3) ","","",""
"   3","   42 (10.6) ","   29 ( 9.5) ","   13 ( 14.0) ","","",""
"   4","   18 ( 4.5) ","    8 ( 2.6) ","   10 ( 10.8) ","","",""
"   5","   49 (12.3) ","   36 (11.8) ","   13 ( 14.0) ","","",""
"adls_2 (%)","  ","  ","   "," 0.036",""," 0.355"
"   1","  150 (37.8) ","  120 (39.5) ","   30 ( 32.3) ","","",""
"   2","  147 (37.0) ","  118 (38.8) ","   29 ( 31.2) ","","",""
"   3","   35 ( 8.8) ","   24 ( 7.9) ","   11 ( 11.8) ","","",""
"   4","   12 ( 3.0) ","    6 ( 2.0) ","    6 (  6.5) ","","",""
"   5","   53 (13.4) ","   36 (11.8) ","   17 ( 18.3) ","","",""
"dependence_1 (%)","  ","  ","   "," 0.466",""," 0.213"
"   1","   34 ( 8.6) ","   22 ( 7.2) ","   12 ( 12.9) ","","",""
"   2","   67 (16.9) ","   50 (16.4) ","   17 ( 18.3) ","","",""
"   3","   60 (15.1) ","   46 (15.1) ","   14 ( 15.1) ","","",""
"   4","  151 (38.0) ","  118 (38.8) ","   33 ( 35.5) ","","",""
"   5","   85 (21.4) ","   68 (22.4) ","   17 ( 18.3) ","","",""
"dependence_2 (%)","  ","  ","   "," 0.405",""," 0.238"
"   1","   33 ( 8.3) ","   23 ( 7.6) ","   10 ( 10.8) ","","",""
"   2","   85 (21.4) ","   61 (20.1) ","   24 ( 25.8) ","","",""
"   3","   53 (13.4) ","   39 (12.8) ","   14 ( 15.1) ","","",""
"   4","  164 (41.3) ","  130 (42.8) ","   34 ( 36.6) ","","",""
"   5","   62 (15.6) ","   51 (16.8) ","   11 ( 11.8) ","","",""
"dependence_3 (%)","  ","  ","   "," 0.732",""," 0.170"
"   1","   42 (10.6) ","   31 (10.2) ","   11 ( 11.8) ","","",""
"   2","  116 (29.2) ","   92 (30.3) ","   24 ( 25.8) ","","",""
"   3","   73 (18.4) ","   53 (17.4) ","   20 ( 21.5) ","","",""
"   4","  104 (26.2) ","   78 (25.7) ","   26 ( 28.0) ","","",""
"   5","   62 (15.6) ","   50 (16.4) ","   12 ( 12.9) ","","",""
"stop_wdl_exp_combined (%)","  ","  ","   ","<0.001",""," 1.578"
"   0","  162 (40.8) ","   81 (26.6) ","   81 ( 87.1) ","","",""
"   1","  123 (31.0) ","  119 (39.1) ","    4 (  4.3) ","","",""
"   2","    3 ( 0.8) ","    2 ( 0.7) ","    1 (  1.1) ","","",""
"   3","    1 ( 0.3) ","    1 ( 0.3) ","    0 (  0.0) ","","",""
"   4","    1 ( 0.3) ","    1 ( 0.3) ","    0 (  0.0) ","","",""
"   5","  107 (27.0) ","  100 (32.9) ","    7 (  7.5) ","","",""
"wdl_symptom_count (mean (SD))"," 0.95 (1.00)"," 1.18 (0.99)"," 0.22 (0.61)","<0.001",""," 1.180"
"motivation_1 (mean (SD))"," 3.18 (1.25)"," 3.29 (1.22)"," 2.81 (1.25)"," 0.001",""," 0.393"
"motivation_2 (mean (SD))"," 2.43 (1.17)"," 2.51 (1.19)"," 2.16 (1.07)"," 0.011",""," 0.312"
"motivation_3 (mean (SD))"," 2.74 (1.30)"," 2.70 (1.28)"," 2.88 (1.37)"," 0.241",""," 0.137"
"desires_1 (mean (SD))"," 2.66 (1.15)"," 2.59 (1.13)"," 2.91 (1.20)"," 0.017",""," 0.279"
"desires_2 (mean (SD))"," 2.53 (0.97)"," 2.49 (0.95)"," 2.63 (1.02)"," 0.221",""," 0.143"
"desires_3 (mean (SD))"," 3.67 (1.14)"," 3.60 (1.13)"," 3.90 (1.15)"," 0.026",""," 0.264"
"capability_1 (mean (SD))"," 3.12 (1.20)"," 2.96 (1.14)"," 3.66 (1.24)","<0.001",""," 0.587"
"capability (mean (SD))"," 3.17 (1.29)"," 3.35 (1.22)"," 2.59 (1.33)","<0.001",""," 0.591"
"BFI_Extraversion (mean (SD))"," 3.23 (1.04)"," 3.15 (1.03)"," 3.47 (1.07)"," 0.009",""," 0.306"
"BFI_Agreeableness (mean (SD))"," 3.71 (0.90)"," 3.69 (0.91)"," 3.80 (0.88)"," 0.319",""," 0.119"
"BFI_Conscientiousness (mean (SD))"," 4.10 (0.88)"," 4.09 (0.89)"," 4.10 (0.85)"," 0.936",""," 0.010"
"BFI_Neuroticism (mean (SD))"," 2.92 (1.02)"," 2.90 (1.04)"," 2.97 (0.95)"," 0.562",""," 0.070"
"BFI_Openness (mean (SD))"," 3.52 (0.92)"," 3.48 (0.90)"," 3.65 (0.97)"," 0.122",""," 0.180"
"SURPS_Impulsivity (mean (SD))"," 2.09 (0.53)"," 2.08 (0.53)"," 2.12 (0.52)"," 0.502",""," 0.080"
"SURPS_Sensation_Seeking (mean (SD))"," 1.96 (0.53)"," 1.95 (0.53)"," 1.99 (0.54)"," 0.488",""," 0.082"
"SURPS_Hopelessness (mean (SD))"," 2.07 (0.50)"," 2.08 (0.49)"," 2.05 (0.54)"," 0.628",""," 0.056"
"SURPS_Anxiety_Sensitivity (mean (SD))"," 2.58 (0.50)"," 2.59 (0.49)"," 2.53 (0.53)"," 0.331",""," 0.113"
"DBAS_Consequences (mean (SD))"," 5.76 (2.10)"," 5.81 (2.09)"," 5.58 (2.12)"," 0.372",""," 0.106"
"DBAS_Worry_Helplessness (mean (SD))"," 6.04 (1.81)"," 6.10 (1.82)"," 5.85 (1.79)"," 0.234",""," 0.142"
"DBAS_Expectations (mean (SD))"," 6.26 (2.29)"," 6.26 (2.32)"," 6.26 (2.18)"," 0.989",""," 0.002"
"DBAS_Medications (mean (SD))"," 5.53 (2.00)"," 5.87 (1.82)"," 4.40 (2.17)","<0.001",""," 0.737"
"CISS_Task (mean (SD))"," 3.69 (0.66)"," 3.70 (0.66)"," 3.66 (0.63)"," 0.588",""," 0.065"
"CISS_Emotion (mean (SD))"," 2.91 (0.87)"," 2.94 (0.87)"," 2.81 (0.87)"," 0.186",""," 0.157"
"CISS_Avoidance (mean (SD))"," 2.81 (0.75)"," 2.80 (0.75)"," 2.84 (0.74)"," 0.678",""," 0.049"
