Model,term,Imp_OR_CI,Imp_p,Imp_sig,CC_OR_CI,CC_p,CC_sig,Sig_change
Model_1,SURPS_Hopelessness,"0.76 [0.37, 1.57]",0.4563,,"1.19 [0.58, 2.47]",0.636,,✓ Consistent
Model_1,SURPS_Impulsivity,"0.92 [0.42, 1.99]",0.8273,,"1.03 [0.41, 2.62]",0.9482,,✓ Consistent
Model_1,SURPS_Sensation_Seeking,"1.33 [0.64, 2.75]",0.4506,,"1.52 [0.85, 2.73]",0.1603,,✓ Consistent
Model_2,(Intercept),"0.02 [0.00, 119464726810775083961253300659469177237372272838654620239314037682830461728084804213226210888233178020467629408047260307081080620533087549240007295851449898159330452312436400203927719085562729503580067118710679041086885980350635922532529186690268274358944540112475960963511026751522495004672.00]",0.9909,,NA,NA,NA,✓ Consistent
Model_2,BFI_Agreeableness,"1.17 [0.81, 1.69]",0.4161,,"1.11 [0.75, 1.63]",0.6039,,✓ Consistent
Model_2,BFI_Conscientiousness,"0.96 [0.65, 1.41]",0.8311,,"0.84 [0.57, 1.23]",0.369,,✓ Consistent
Model_2,BFI_Extraversion,"1.42 [1.03, 1.97]",0.0342,*,"1.53 [1.12, 2.07]",0.0069,**,✓ Consistent
Model_2,BFI_Neuroticism,"1.21 [0.87, 1.68]",0.2479,,"1.28 [0.91, 1.80]",0.1629,,✓ Consistent
Model_2,BFI_Openness,"1.15 [0.78, 1.71]",0.4739,,"1.12 [0.79, 1.58]",0.514,,✓ Consistent
Model_2,CISS_Avoidance,"1.26 [0.72, 2.20]",0.4218,,"0.87 [0.43, 1.75]",0.6956,,✓ Consistent
Model_2,CISS_Emotion,"0.53 [0.24, 1.15]",0.1098,,"0.59 [0.26, 1.33]",0.2034,,✓ Consistent
Model_2,CISS_Task,"0.96 [0.41, 2.24]",0.9281,,"1.21 [0.57, 2.56]",0.6201,,✓ Consistent
Model_2,DBAS_Consequences,"0.70 [0.55, 0.88]",0.0024,**,"1.09 [0.88, 1.35]",0.4222,,⚠️  Lost significance in CC
Model_2,DBAS_Expectations,"1.10 [0.86, 1.42]",0.4557,,"1.04 [0.83, 1.31]",0.7148,,✓ Consistent
Model_2,DBAS_Medications,"0.87 [0.68, 1.11]",0.2632,,"0.82 [0.65, 1.02]",0.0754,,✓ Consistent
Model_2,DBAS_Worry_Helplessness,"1.14 [0.91, 1.44]",0.2604,,"0.87 [0.69, 1.10]",0.2567,,✓ Consistent
Model_2,SURPS_Anxiety_Sensitivity,"1.00 [0.40, 2.54]",0.9945,,"0.93 [0.39, 2.24]",0.8719,,✓ Consistent
Model_2,SURPS_Hopelessness,"0.72 [0.32, 1.62]",0.4295,,"0.95 [0.44, 2.05]",0.9055,,✓ Consistent
Model_2,SURPS_Impulsivity,"0.90 [0.40, 2.02]",0.7965,,"0.96 [0.36, 2.56]",0.9362,,✓ Consistent
